"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"NIFTY 50","24,965.80","25,088.70","24,929.70","24,980.65","25,050.55","-","69.90","0.28","28,70,54,119","25,330.31","26,277.35","21,743.65","0.33","1.94"
"INFY","1,440.70","1,499.00","1,440.70","1,440.00","1,495.10","-","55.10","3.83","1,04,13,061","1,543.98","2,006.45","1,307.00","-5.67","-19.77"
"TCS","3,010.90","3,103.40","3,010.90","3,016.20","3,094.80","-","78.60","2.61","49,52,358","1,524.44","4,592.25","2,991.60","-2.86","-30.99"
"NESTLEIND","1,165.00","1,192.80","1,156.70","1,161.40","1,191.00","-","29.60","2.55","16,52,532","195.27","1,389.00","1,055.00","-51.85","-52.45"
"HINDUNILVR","2,599.00","2,680.00","2,588.50","2,604.80","2,668.00","-","63.20","2.43","31,56,954","839.45","3,035.00","2,136.00","7.24","-2.65"
"NTPC","337.80","343.40","336.50","335.05","341.75","-","6.70","2.00","1,08,24,544","368.60","448.45","292.80","-0.03","-15.16"
"TECHM","1,488.00","1,532.00","1,487.40","1,496.70","1,526.00","-","29.30","1.96","23,29,633","353.86","1,807.70","1,209.40","-1.60","-4.42"
"TATACONSUM","1,086.00","1,106.90","1,078.90","1,085.80","1,105.30","-","19.50","1.80","8,71,108","95.61","1,234.30","882.90","0.86","-6.12"
"WIPRO","245.30","252.89","245.30","246.96","251.00","-","4.04","1.64","1,00,99,384","252.73","324.60","228.00","-6.03","-51.74"
"TATASTEEL","158.20","162.76","158.03","159.23","161.77","-","2.54","1.60","2,85,20,245","459.52","170.18","122.62","-0.28","5.17"
"GRASIM","2,828.30","2,883.60","2,807.40","2,828.30","2,869.50","-","41.20","1.46","9,30,944","265.37","2,896.00","2,276.95","5.00","10.26"
"HCLTECH","1,468.00","1,500.30","1,458.00","1,476.10","1,496.00","-","19.90","1.35","1,02,19,330","1,510.80","2,012.20","1,302.75","-3.41","-10.87"
"ETERNAL","322.40","331.35","320.35","321.45","325.25","-","3.80","1.18","5,57,34,714","1,824.03","331.35","194.80","26.96","-"
"M&M","3,354.10","3,404.20","3,335.00","3,354.00","3,392.00","-","38.00","1.13","29,57,816","998.08","3,432.00","2,425.00","6.37","22.80"
"BHARTIARTL","1,937.00","1,952.00","1,926.00","1,909.70","1,930.00","-","20.30","1.06","69,62,619","1,347.27","2,045.80","1,446.50","1.44","31.21"
"JSWSTEEL","1,072.00","1,089.20","1,067.30","1,073.40","1,083.50","-","10.10","0.94","13,21,114","142.78","1,089.20","880.00","4.66","17.96"
"APOLLOHOSP","7,830.00","7,918.00","7,812.50","7,823.50","7,876.00","-","52.50","0.67","4,52,843","357.05","7,918.00","6,001.00","7.93","17.22"
"TITAN","3,560.00","3,602.90","3,552.00","3,568.10","3,591.30","-","23.20","0.65","5,17,031","185.35","3,867.00","2,925.00","5.65","3.76"
"SUNPHARMA","1,634.00","1,636.50","1,616.00","1,626.60","1,635.00","-","8.40","0.52","18,31,706","298.07","1,960.35","1,553.05","-3.57","-6.56"
"SBILIFE","1,846.00","1,864.90","1,843.40","1,854.10","1,862.00","-","7.90","0.43","4,46,416","82.75","1,936.00","1,372.55","3.92","11.18"
"HEROMOTOCO","5,120.00","5,165.00","5,111.10","5,118.20","5,133.50","-","15.30","0.30","9,16,240","471.31","6,246.25","3,344.00","16.81","-1.02"
"BAJAJ-AUTO","8,794.50","8,872.50","8,763.50","8,795.50","8,821.00","-","25.50","0.29","4,90,202","432.61","12,774.00","7,089.35","5.75","-9.65"
"HDFCLIFE","793.05","801.85","792.60","793.75","796.00","-","2.25","0.28","10,97,339","87.51","820.75","584.30","7.71","16.17"
"ADANIPORTS","1,369.40","1,374.60","1,358.00","1,369.40","1,372.00","-","2.60","0.19","15,94,619","218.19","1,517.00","995.65","-5.02","-8.41"
"DRREDDY","1,244.00","1,250.70","1,238.00","1,244.20","1,246.10","-","1.90","0.15","6,85,379","85.39","1,421.49","1,020.00","-0.96","-81.98"
"ONGC","237.00","239.09","237.00","237.94","238.24","-","0.30","0.13","74,38,061","177.00","338.75","205.00","-3.40","-29.04"
"ADANIENT","2,380.00","2,406.00","2,372.10","2,388.40","2,391.00","-","2.60","0.11","7,80,025","186.42","3,211.00","2,025.00","-8.05","-23.06"
"POWERGRID","288.20","289.00","286.95","288.00","288.25","-","0.25","0.09","31,06,073","89.50","366.25","247.30","-1.95","-15.25"
"ULTRACEMCO","12,850.00","12,930.00","12,765.00","12,863.00","12,872.00","-","9.00","0.07","2,90,957","374.86","12,930.00","10,047.85","3.01","13.77"
"AXISBANK","1,081.00","1,083.70","1,077.80","1,083.20","1,082.50","-","-0.70","-0.06","30,34,728","327.87","1,281.65","933.50","-1.74","-6.33"
"EICHERMOT","5,964.00","5,969.50","5,905.00","5,938.50","5,935.00","-","-3.50","-0.06","5,10,626","302.85","6,024.50","4,508.75","5.51","23.36"
"COALINDIA","386.00","386.85","383.55","385.35","385.05","-","-0.30","-0.08","49,04,231","188.76","543.55","349.25","-0.98","-26.30"
"HDFCBANK","1,987.00","1,992.00","1,979.00","1,991.10","1,988.30","-","-2.80","-0.14","49,75,114","987.62","2,037.70","1,613.00","1.57","21.86"
"SBIN","828.70","831.90","827.40","830.40","828.90","-","-1.50","-0.18","44,93,888","372.79","875.45","680.00","0.68","1.87"
"MARUTI","14,362.00","14,362.00","14,200.00","14,250.00","14,220.00","-","-30.00","-0.21","3,91,425","557.92","14,362.00","10,725.00","14.51","17.05"
"CIPLA","1,539.20","1,556.90","1,533.40","1,548.90","1,544.50","-","-4.40","-0.28","9,36,556","144.79","1,702.05","1,335.00","4.30","-1.87"
"ASIANPAINT","2,578.00","2,579.30","2,563.40","2,579.40","2,570.50","-","-8.90","-0.35","3,08,028","79.20","3,394.90","2,124.75","7.88","-16.45"
"ICICIBANK","1,432.60","1,435.90","1,423.00","1,436.30","1,430.00","-","-6.30","-0.44","58,17,858","831.90","1,500.00","1,165.10","0.34","21.66"
"KOTAKBANK","2,020.50","2,024.20","2,005.50","2,029.90","2,019.50","-","-10.40","-0.51","26,26,941","529.93","2,301.90","1,679.05","-5.75","13.26"
"LT","3,613.50","3,619.90","3,580.00","3,613.00","3,593.00","-","-20.00","-0.55","13,25,096","476.32","3,963.50","2,965.30","3.68","1.05"
"RELIANCE","1,413.00","1,424.90","1,410.00","1,420.10","1,412.00","-","-8.10","-0.57","87,25,641","1,237.79","1,551.00","1,114.85","-4.27","-52.53"
"BAJAJFINSV","1,972.80","1,976.50","1,949.20","1,972.20","1,959.00","-","-13.20","-0.67","14,61,680","285.76","2,135.00","1,545.05","-3.50","26.27"
"ITC","409.10","410.25","405.45","409.10","406.25","-","-2.85","-0.70","1,81,88,129","741.84","528.50","390.15","-3.95","-19.02"
"TRENT","5,496.00","5,498.00","5,432.00","5,496.00","5,457.00","-","-39.00","-0.71","6,36,301","346.87","8,345.00","4,488.00","1.45","-18.49"
"HINDALCO","701.00","705.90","698.05","706.70","701.00","-","-5.70","-0.81","53,58,070","375.63","772.65","546.45","3.69","6.37"
"JIOFIN","330.85","331.00","327.05","331.30","328.50","-","-2.80","-0.85","88,22,662","290.17","363.00","198.65","3.66","-0.91"
"INDUSINDBK","786.45","790.20","777.00","785.50","778.00","-","-7.50","-0.95","23,32,155","182.19","1,498.00","606.00","-10.56","-42.25"
"TATAMOTORS","700.25","700.80","689.00","700.25","690.00","-","-10.25","-1.46","1,00,50,137","695.22","1,142.00","535.75","1.37","-36.60"
"BAJFINANCE","900.55","902.00","886.05","902.30","887.70","-","-14.60","-1.62","55,61,646","494.40","978.80","645.10","-5.75","-86.58"
"SHRIRAMFIN","623.35","624.95","613.30","626.35","616.10","-","-10.25","-1.64","57,10,611","352.02","730.45","493.35","-4.52","-79.96"
"BEL","383.90","384.30","371.10","380.05","371.80","-","-8.25","-2.17","2,02,89,349","760.67","436.00","240.25","-5.80","23.07"
